id_espacial,anio,tipo,id,calle1,calle2,lon,lat
-99.16049_19.44205,2021,radar móvil,NA,Av. Ribera De San Cosme Sentido Poniente  ,-,-99.16049,19.44205
-99.16049_19.44205,2022,radar móvil,NA,Av. Ribera De San Cosme Sentido Poniente  ,-,-99.16049,19.44205
-99.16049_19.44205,2023,radar móvil,NA,Av. Ribera De San Cosme Sentido Poniente  ,-,-99.16049,19.44205
-99.16075_19.51192,2019,radar fijo,RVEF023,Eje 2 Nte. Manuel González,y Calle General Ignacio Zaragoza,-99.160748,19.511921
-99.16075_19.51192,2020,radar fijo,RVEF023,Eje 2 Nte. Manuel González,y Calle General Ignacio Zaragoza,-99.160748,19.511921
-99.16075_19.51192,2021,radar fijo,RVEF023,Eje 2 Nte. Manuel González,y Calle General Ignacio Zaragoza,-99.160748,19.511921
-99.16075_19.51192,2022,radar fijo,RVEF023,Eje 2 Nte. Manuel González Y,Calle General Ignacio Zaragoza,-99.160748,19.511921
-99.16075_19.51192,2023,radar fijo,RVEF023,Eje 2 Nte. Manuel González Y,Calle General Ignacio Zaragoza,-99.160748,19.511921
-99.16137_19.47309,2019,radar móvil,NA,Entre Av. Ceylan y ,Mariano Escobedo,-99.16136803,19.47308722
-99.16334_19.42911,2019,radar móvil,RVEM001,Entre Calle Niza y ,Glorieta de Colón,-99.16333787,19.42910974
-99.16395_19.45334,2023,radar fijo,VVEF009 ,"Circuito Bicentenario,Instituto Técnico Industrial Y",Calle Eligio Ancona,-99.163946,19.45334
-99.16396_19.45305,2024,radar fijo,071-SSC-CUH-EV-143.182,Eligio Ancona,Segunda Cda. De La Séptima Del Nogal,-99.1639617,19.4530477
-99.1654_19.4435,2020,radar móvil,RVEM003,Ribera De San Cosme Y,Virginia Fabregas Direccion Oriente,-99.1654,19.4435
-99.1654_19.4435,2021,radar móvil,RVEM004,Ribera De San Cosme Y,Virginia Fabregas Direccion Oriente,-99.1654,19.4435
-99.1654_19.4435,2022,radar móvil,RVEM004,Ribera De San Cosme Y,Virginia Fabregas Direccion Oriente,-99.1654,19.4435
-99.1654_19.4435,2023,radar móvil,NA,Ribera De San Cosme Y,Virginia Fabregas Direccion Oriente,-99.1654,19.4435
