id_colonia,colonia,id_alcaldia,alcaldia,n_incidentes
16-089,ANAHUAC II,16,MIGUEL HIDALGO,4386
16-077,TACUBA,16,MIGUEL HIDALGO,4370
15-036,BUENAVISTA II,15,CUAUHTEMOC,4328
17-073,CENTRO II,17,VENUSTIANO CARRANZA,4311
16-091,ESCANDON II,16,MIGUEL HIDALGO,4293
15-004,ATLAMPA,15,CUAUHTEMOC,4290
17-069,5TO TRAMO DE 20 DE NOVIEMBRE,17,VENUSTIANO CARRANZA,4271
05-040,DM NACIONAL,5,GUSTAVO A. MADERO,4230
15-067,PERALVILLO II,15,CUAUHTEMOC,4222
03-051,EX HACIENDA COAPA,3,COYOACAN,4187
15-062,OBRERA I,15,CUAUHTEMOC,4108
10-192,SAN ANGEL,10,ALVARO OBREGON,4092
07-086,GRANJAS SAN ANTONIO,7,IZTAPALAPA,4086
07-155,PARAJE ZACATEPEC,7,IZTAPALAPA,4079
12-180,TORIELLO GUERRA,12,TLALPAN,4077
05-146,RESIDENCIAL ZACATENCO,5,GUSTAVO A. MADERO,4032
03-008,AVANTE,3,COYOACAN,4023
12-212,LOMAS DE PADIERNA II,12,TLALPAN,4004
05-223,INDUSTRIAL I,5,GUSTAVO A. MADERO,3990
07-227,STA MA AZTAHUACAN (PBLO),7,IZTAPALAPA,3980
03-078,LOS REYES (PBLO),3,COYOACAN,3973
07-168,PURISIMA I,7,IZTAPALAPA,3903
12-157,SAN MIGUEL TOPILEJO (PBLO),12,TLALPAN,3859
10-217,TIZAPAN_TIZAPAN SAN ANGEL,10,ALVARO OBREGON,3802
10-198,SANTA FE,10,ALVARO OBREGON,3790
16-090,ESCANDON I,16,MIGUEL HIDALGO,3781
05-131,NUEVA VALLEJO,5,GUSTAVO A. MADERO,3766
17-086,PENSADOR MEXICANO II,17,VENUSTIANO CARRANZA,3752
06-038,VIADUCTO PIEDAD,6,IZTACALCO,3750
14-049,XOCO,14,BENITO JUAREZ,3739
16-084,VERONICA ANZURES,16,MIGUEL HIDALGO,3726
14-055,DEL VALLE III,14,BENITO JUAREZ,3710
14-026,MIXCOAC,14,BENITO JUAREZ,3678
15-065,OBRERA IV,15,CUAUHTEMOC,3666
07-191,SAN LORENZO TEZONCO (PBLO),7,IZTAPALAPA,3665
14-053,DEL VALLE I,14,BENITO JUAREZ,3663
11-032,SAN FRANCISCO TLALTENCO (PBLO),11,TLAHUAC,3652
07-206,SANTA CRUZ MEYEHUALCO (PBLO),7,IZTAPALAPA,3638
15-071,ROMA SUR I,15,CUAUHTEMOC,3618
16-051,MILITAR 1 K LOMAS DE SOTELO (U HAB),16,MIGUEL HIDALGO,3610
15-008,CONDESA,15,CUAUHTEMOC,3604
16-025,DANIEL GARZA (AMPL),16,MIGUEL HIDALGO,3601
10-073,FLORIDA,10,ALVARO OBREGON,3596
07-060,EL SANTUARIO,7,IZTAPALAPA,3569
