folio,fecha_creacion,colonia_fuente,alcaldia_fuente,id_colonia,colonia,id_alcaldia,alcaldia
C5/20230206/02263,2023-02-06,Barrio San Miguel,Iztapalapa,07-081,GAVILAN (U HAB),7,IZTAPALAPA
C5/20230206/02263,2023-02-06,Barrio San Miguel,Iztapalapa,07-196,SAN MIGUEL (BARR),7,IZTAPALAPA
C5/20230206/02419,2023-02-06,Barrio San Miguel,Iztapalapa,07-081,GAVILAN (U HAB),7,IZTAPALAPA
C5/20230206/02419,2023-02-06,Barrio San Miguel,Iztapalapa,07-196,SAN MIGUEL (BARR),7,IZTAPALAPA
C5/20230214/01680,2023-02-14,Barrio San Miguel,Iztapalapa,07-081,GAVILAN (U HAB),7,IZTAPALAPA
C5/20230214/01680,2023-02-14,Barrio San Miguel,Iztapalapa,07-196,SAN MIGUEL (BARR),7,IZTAPALAPA
C5/20230214/01765,2023-02-14,Barrio San Miguel,Iztapalapa,07-081,GAVILAN (U HAB),7,IZTAPALAPA
C5/20230214/01765,2023-02-14,Barrio San Miguel,Iztapalapa,07-196,SAN MIGUEL (BARR),7,IZTAPALAPA
C5/20230216/01212,2023-02-16,Potrero Del Llano,Tláhuac,09-002,SAN ANTONIO TECOMITL (PBLO),9,MILPA ALTA
C5/20230216/01212,2023-02-16,Potrero Del Llano,Tláhuac,11-012,JAIME TORRES BODET,11,TLAHUAC
C5/20230222/02277,2023-02-22,Barrio San Miguel,Iztapalapa,07-081,GAVILAN (U HAB),7,IZTAPALAPA
C5/20230222/02277,2023-02-22,Barrio San Miguel,Iztapalapa,07-196,SAN MIGUEL (BARR),7,IZTAPALAPA
C5/20230225/03634,2023-02-25,San Miguel Chapultepec I Seccion,Cuauhtémoc,15-016,HIPODROMO CONDESA,15,CUAUHTEMOC
C5/20230225/03634,2023-02-25,San Miguel Chapultepec I Seccion,Cuauhtémoc,16-095,SAN MIGUEL CHAPULTEPEC II,16,MIGUEL HIDALGO
C5/20230315/00930,2023-03-15,Doctores,Cuauhtémoc,15-047,DOCTORES III,15,CUAUHTEMOC
C5/20230315/00930,2023-03-15,Doctores,Cuauhtémoc,15-063,OBRERA II,15,CUAUHTEMOC
C5/20230322/00749,2023-03-22,Barrio San Miguel,Iztapalapa,07-081,GAVILAN (U HAB),7,IZTAPALAPA
C5/20230322/00749,2023-03-22,Barrio San Miguel,Iztapalapa,07-196,SAN MIGUEL (BARR),7,IZTAPALAPA
